topic,text,label
Personalized Medicine,The progress in Personalized Medicine is amazing.,positive
Voice Assistants,Voice Assistants is causing a lot of problems.,negative
Food Security,I am disappointed with Food Security.,negative
Agentic AI,Agentic AI brings great opportunities.,positive
Agentic AI,Agentic AI brings great opportunities.,positive
Augmented Reality (AR),Augmented Reality (AR) is improving my life.,positive
AI chatbot,AI chatbot makes things worse sometimes.,negative
smartphones,The progress in smartphones is amazing.,positive
Blockchain Beyond Crypto,People discuss Blockchain Beyond Crypto often.,neutral
electric car,electric car is causing a lot of problems.,negative
6G Connectivity,People discuss 6G Connectivity often.,neutral
6G Connectivity,I am learning about 6G Connectivity.,neutral
3D Printing,3D Printing is causing a lot of problems.,negative
Gene Editing,Gene Editing makes things worse sometimes.,negative
Blockchain Beyond Crypto,I am learning about Blockchain Beyond Crypto.,neutral
Climate Adaptation,I hate the way Climate Adaptation is handled.,negative
6G Connectivity,6G Connectivity is interesting to observe.,neutral
Blockchain Beyond Crypto,The issues with Blockchain Beyond Crypto are frustrating.,negative
smartphones,smartphones brings great opportunities.,positive
Hybrid Work Models,I am learning about Hybrid Work Models.,neutral
Smart Cities,I am disappointed with Smart Cities.,negative
Mental Health Awareness,I hate the way Mental Health Awareness is handled.,negative
Electric Aviation,I read some articles about Electric Aviation.,neutral
Sustainable Tech,The progress in Sustainable Tech is amazing.,positive
AI chatbot,People discuss AI chatbot often.,neutral
Food Security,I read some articles about Food Security.,neutral
AI chatbot,The progress in AI chatbot is amazing.,positive
Climate Adaptation,I read some articles about Climate Adaptation.,neutral
Gene Editing,Gene Editing is improving my life.,positive
Augmented Reality (AR),Augmented Reality (AR) brings great opportunities.,positive
Mental Health Awareness,I read some articles about Mental Health Awareness.,neutral
Sustainable Tech,I am learning about Sustainable Tech.,neutral
Personalized Medicine,I am disappointed with Personalized Medicine.,negative
Voice Assistants,People discuss Voice Assistants often.,neutral
Augmented Reality (AR),The issues with Augmented Reality (AR) are frustrating.,negative
Personalized Medicine,I read some articles about Personalized Medicine.,neutral
Electric Aviation,Electric Aviation is causing a lot of problems.,negative
Blockchain Beyond Crypto,I am learning about Blockchain Beyond Crypto.,neutral
Digital Twins,I am learning about Digital Twins.,neutral
Voice Assistants,Voice Assistants is improving my life.,positive
AI chatbot,I am disappointed with AI chatbot.,negative
Gene Editing,I love how Gene Editing is evolving.,positive
Agentic AI,Agentic AI makes things worse sometimes.,negative
Digital Twins,Digital Twins brings great opportunities.,positive
AI chatbot,AI chatbot is improving my life.,positive
3D Printing,3D Printing brings great opportunities.,positive
Quantum Computing,Quantum Computing is interesting to observe.,neutral
Wearable Health Tech,The issues with Wearable Health Tech are frustrating.,negative
6G Connectivity,The issues with 6G Connectivity are frustrating.,negative
Hybrid Work Models,I hate the way Hybrid Work Models is handled.,negative
social media,The issues with social media are frustrating.,negative
social media,The progress in social media is amazing.,positive
Digital Twins,I love how Digital Twins is evolving.,positive
Mental Health Awareness,Mental Health Awareness is interesting to observe.,neutral
Space Tourism,Space Tourism is interesting to observe.,neutral
Blockchain Beyond Crypto,Blockchain Beyond Crypto makes things worse sometimes.,negative
Sustainable Tech,Sustainable Tech makes things worse sometimes.,negative
Digital Twins,Digital Twins makes things worse sometimes.,negative
Digital Twins,Digital Twins is interesting to observe.,neutral
online learning,I read some articles about online learning.,neutral
6G Connectivity,I am excited about 6G Connectivity.,positive
Voice Assistants,The issues with Voice Assistants are frustrating.,negative
electric car,I am excited about electric car.,positive
Smart Cities,The issues with Smart Cities are frustrating.,negative
Smart Cities,I love how Smart Cities is evolving.,positive
electric car,electric car is causing a lot of problems.,negative
Climate Adaptation,Climate Adaptation is improving my life.,positive
Quantum Computing,Quantum Computing is causing a lot of problems.,negative
Agentic AI,The progress in Agentic AI is amazing.,positive
Food Security,The progress in Food Security is amazing.,positive
Personalized Medicine,I have some information about Personalized Medicine.,neutral
Space Tourism,I am excited about Space Tourism.,positive
Personalized Medicine,The issues with Personalized Medicine are frustrating.,negative
Sustainable Tech,The issues with Sustainable Tech are frustrating.,negative
Smart Cities,Smart Cities is improving my life.,positive
Space Tourism,I am excited about Space Tourism.,positive
Sustainable Tech,I am excited about Sustainable Tech.,positive
Gene Editing,The progress in Gene Editing is amazing.,positive
Quantum Computing,I am learning about Quantum Computing.,neutral
smartphones,The progress in smartphones is amazing.,positive
Electric Aviation,I hate the way Electric Aviation is handled.,negative
Quantum Computing,I love how Quantum Computing is evolving.,positive
Sustainable Tech,People discuss Sustainable Tech often.,neutral
Blockchain Beyond Crypto,Blockchain Beyond Crypto brings great opportunities.,positive
Quantum Computing,I hate the way Quantum Computing is handled.,negative
Voice Assistants,I read some articles about Voice Assistants.,neutral
smartphones,I have some information about smartphones.,neutral
AI chatbot,I am learning about AI chatbot.,neutral
social media,The issues with social media are frustrating.,negative
Sustainable Tech,I am excited about Sustainable Tech.,positive
Cybersecurity Innovations,People discuss Cybersecurity Innovations often.,neutral
smartphones,smartphones makes things worse sometimes.,negative
Gene Editing,Gene Editing is interesting to observe.,neutral
Voice Assistants,People discuss Voice Assistants often.,neutral
Wearable Health Tech,I am learning about Wearable Health Tech.,neutral
3D Printing,3D Printing brings great opportunities.,positive
Cybersecurity Innovations,I read some articles about Cybersecurity Innovations.,neutral
Sustainable Tech,People discuss Sustainable Tech often.,neutral
Mental Health Awareness,I hate the way Mental Health Awareness is handled.,negative
Agentic AI,I read some articles about Agentic AI.,neutral
Personalized Medicine,I read some articles about Personalized Medicine.,neutral
Food Security,I read some articles about Food Security.,neutral
Gene Editing,People discuss Gene Editing often.,neutral
Wearable Health Tech,I am disappointed with Wearable Health Tech.,negative
Blockchain Beyond Crypto,Blockchain Beyond Crypto is interesting to observe.,neutral
Food Security,I am excited about Food Security.,positive
Gene Editing,I read some articles about Gene Editing.,neutral
Augmented Reality (AR),Augmented Reality (AR) is improving my life.,positive
Smart Cities,I hate the way Smart Cities is handled.,negative
Cybersecurity Innovations,Cybersecurity Innovations is improving my life.,positive
social media,I have some information about social media.,neutral
electric car,I read some articles about electric car.,neutral
Electric Aviation,I love how Electric Aviation is evolving.,positive
Food Security,Food Security is interesting to observe.,neutral
Climate Adaptation,The progress in Climate Adaptation is amazing.,positive
6G Connectivity,6G Connectivity is causing a lot of problems.,negative
Digital Twins,I am learning about Digital Twins.,neutral
Electric Aviation,I am learning about Electric Aviation.,neutral
Space Tourism,I have some information about Space Tourism.,neutral
6G Connectivity,The progress in 6G Connectivity is amazing.,positive
Voice Assistants,Voice Assistants is causing a lot of problems.,negative
Augmented Reality (AR),I love how Augmented Reality (AR) is evolving.,positive
Augmented Reality (AR),I am disappointed with Augmented Reality (AR).,negative
3D Printing,I am learning about 3D Printing.,neutral
Hybrid Work Models,People discuss Hybrid Work Models often.,neutral
Space Tourism,The progress in Space Tourism is amazing.,positive
Sustainable Tech,Sustainable Tech makes things worse sometimes.,negative
Hybrid Work Models,The issues with Hybrid Work Models are frustrating.,negative
Climate Adaptation,I am disappointed with Climate Adaptation.,negative
Climate Adaptation,I read some articles about Climate Adaptation.,neutral
Augmented Reality (AR),Augmented Reality (AR) makes things worse sometimes.,negative
electric car,People discuss electric car often.,neutral
Augmented Reality (AR),Augmented Reality (AR) makes things worse sometimes.,negative
6G Connectivity,The issues with 6G Connectivity are frustrating.,negative
Mental Health Awareness,I love how Mental Health Awareness is evolving.,positive
Wearable Health Tech,I hate the way Wearable Health Tech is handled.,negative
AI chatbot,People discuss AI chatbot often.,neutral
Cybersecurity Innovations,Cybersecurity Innovations is improving my life.,positive
Wearable Health Tech,I am excited about Wearable Health Tech.,positive
Voice Assistants,I love how Voice Assistants is evolving.,positive
Gene Editing,The progress in Gene Editing is amazing.,positive
Cybersecurity Innovations,Cybersecurity Innovations makes things worse sometimes.,negative
smartphones,I have some information about smartphones.,neutral
Personalized Medicine,I love how Personalized Medicine is evolving.,positive
AI chatbot,AI chatbot is interesting to observe.,neutral
Agentic AI,I have some information about Agentic AI.,neutral
Voice Assistants,Voice Assistants is improving my life.,positive
6G Connectivity,I read some articles about 6G Connectivity.,neutral
Mental Health Awareness,The progress in Mental Health Awareness is amazing.,positive
Space Tourism,I hate the way Space Tourism is handled.,negative
Cybersecurity Innovations,Cybersecurity Innovations makes things worse sometimes.,negative
Food Security,Food Security makes things worse sometimes.,negative
Personalized Medicine,I hate the way Personalized Medicine is handled.,negative
social media,I read some articles about social media.,neutral
Voice Assistants,I hate the way Voice Assistants is handled.,negative
smartphones,smartphones is interesting to observe.,neutral
Voice Assistants,Voice Assistants is causing a lot of problems.,negative
Agentic AI,The issues with Agentic AI are frustrating.,negative
Food Security,I am excited about Food Security.,positive
smartphones,I am disappointed with smartphones.,negative
Hybrid Work Models,The progress in Hybrid Work Models is amazing.,positive
electric car,electric car brings great opportunities.,positive
social media,I have some information about social media.,neutral
AI chatbot,The issues with AI chatbot are frustrating.,negative
Digital Twins,I have some information about Digital Twins.,neutral
Sustainable Tech,I am disappointed with Sustainable Tech.,negative
Wearable Health Tech,I am learning about Wearable Health Tech.,neutral
Electric Aviation,People discuss Electric Aviation often.,neutral
Hybrid Work Models,The progress in Hybrid Work Models is amazing.,positive
Space Tourism,Space Tourism is improving my life.,positive
Mental Health Awareness,Mental Health Awareness is interesting to observe.,neutral
Cybersecurity Innovations,People discuss Cybersecurity Innovations often.,neutral
Electric Aviation,I love how Electric Aviation is evolving.,positive
online learning,I am excited about online learning.,positive
Electric Aviation,Electric Aviation is improving my life.,positive
Blockchain Beyond Crypto,People discuss Blockchain Beyond Crypto often.,neutral
Quantum Computing,People discuss Quantum Computing often.,neutral
Blockchain Beyond Crypto,I hate the way Blockchain Beyond Crypto is handled.,negative
Digital Twins,The issues with Digital Twins are frustrating.,negative
Climate Adaptation,The progress in Climate Adaptation is amazing.,positive
Cybersecurity Innovations,I am excited about Cybersecurity Innovations.,positive
social media,I am learning about social media.,neutral
Agentic AI,I read some articles about Agentic AI.,neutral
Wearable Health Tech,The progress in Wearable Health Tech is amazing.,positive
Climate Adaptation,I read some articles about Climate Adaptation.,neutral
Electric Aviation,People discuss Electric Aviation often.,neutral
Personalized Medicine,I read some articles about Personalized Medicine.,neutral
electric car,electric car makes things worse sometimes.,negative
Smart Cities,I hate the way Smart Cities is handled.,negative
3D Printing,3D Printing is causing a lot of problems.,negative
Quantum Computing,I am disappointed with Quantum Computing.,negative
Space Tourism,I am disappointed with Space Tourism.,negative
3D Printing,People discuss 3D Printing often.,neutral
Mental Health Awareness,I love how Mental Health Awareness is evolving.,positive
Digital Twins,Digital Twins brings great opportunities.,positive
Quantum Computing,I read some articles about Quantum Computing.,neutral
Mental Health Awareness,I am learning about Mental Health Awareness.,neutral
smartphones,I hate the way smartphones is handled.,negative
online learning,People discuss online learning often.,neutral
social media,social media is interesting to observe.,neutral
Smart Cities,I am excited about Smart Cities.,positive
Climate Adaptation,I have some information about Climate Adaptation.,neutral
3D Printing,I have some information about 3D Printing.,neutral
AI chatbot,The progress in AI chatbot is amazing.,positive
Wearable Health Tech,People discuss Wearable Health Tech often.,neutral
Space Tourism,I have some information about Space Tourism.,neutral
Smart Cities,People discuss Smart Cities often.,neutral
Hybrid Work Models,The progress in Hybrid Work Models is amazing.,positive
Gene Editing,People discuss Gene Editing often.,neutral
Sustainable Tech,Sustainable Tech is improving my life.,positive
smartphones,I am learning about smartphones.,neutral
Sustainable Tech,The progress in Sustainable Tech is amazing.,positive
Cybersecurity Innovations,People discuss Cybersecurity Innovations often.,neutral
electric car,electric car is interesting to observe.,neutral
smartphones,I am disappointed with smartphones.,negative
electric car,I have some information about electric car.,neutral
Hybrid Work Models,I am excited about Hybrid Work Models.,positive
social media,social media makes things worse sometimes.,negative
3D Printing,I love how 3D Printing is evolving.,positive
Personalized Medicine,The issues with Personalized Medicine are frustrating.,negative
Mental Health Awareness,Mental Health Awareness is improving my life.,positive
Blockchain Beyond Crypto,Blockchain Beyond Crypto brings great opportunities.,positive
Gene Editing,Gene Editing is causing a lot of problems.,negative
Space Tourism,I am learning about Space Tourism.,neutral
Climate Adaptation,Climate Adaptation brings great opportunities.,positive
Mental Health Awareness,People discuss Mental Health Awareness often.,neutral
Wearable Health Tech,Wearable Health Tech makes things worse sometimes.,negative
3D Printing,The issues with 3D Printing are frustrating.,negative
Electric Aviation,I read some articles about Electric Aviation.,neutral
Augmented Reality (AR),Augmented Reality (AR) is interesting to observe.,neutral
3D Printing,I am learning about 3D Printing.,neutral
Personalized Medicine,The progress in Personalized Medicine is amazing.,positive
Smart Cities,I read some articles about Smart Cities.,neutral
Climate Adaptation,Climate Adaptation brings great opportunities.,positive
Hybrid Work Models,I read some articles about Hybrid Work Models.,neutral
social media,I hate the way social media is handled.,negative
Mental Health Awareness,Mental Health Awareness is causing a lot of problems.,negative
Food Security,Food Security is causing a lot of problems.,negative
Personalized Medicine,The progress in Personalized Medicine is amazing.,positive
Smart Cities,Smart Cities is causing a lot of problems.,negative
6G Connectivity,6G Connectivity is improving my life.,positive
online learning,I have some information about online learning.,neutral
electric car,electric car makes things worse sometimes.,negative
online learning,online learning is causing a lot of problems.,negative
Agentic AI,I have some information about Agentic AI.,neutral
Climate Adaptation,I am disappointed with Climate Adaptation.,negative
social media,social media is causing a lot of problems.,negative
Smart Cities,I am learning about Smart Cities.,neutral
Quantum Computing,Quantum Computing is causing a lot of problems.,negative
online learning,I am disappointed with online learning.,negative
Smart Cities,I am excited about Smart Cities.,positive
Electric Aviation,The issues with Electric Aviation are frustrating.,negative
electric car,I am disappointed with electric car.,negative
Gene Editing,I am excited about Gene Editing.,positive
Agentic AI,The issues with Agentic AI are frustrating.,negative
Blockchain Beyond Crypto,Blockchain Beyond Crypto is improving my life.,positive
Digital Twins,Digital Twins is causing a lot of problems.,negative
Gene Editing,The issues with Gene Editing are frustrating.,negative
Augmented Reality (AR),I have some information about Augmented Reality (AR).,neutral
Cybersecurity Innovations,I am learning about Cybersecurity Innovations.,neutral
Personalized Medicine,Personalized Medicine is improving my life.,positive
Augmented Reality (AR),Augmented Reality (AR) makes things worse sometimes.,negative
Gene Editing,Gene Editing makes things worse sometimes.,negative
Electric Aviation,I am excited about Electric Aviation.,positive
online learning,I am excited about online learning.,positive
online learning,I am learning about online learning.,neutral
Digital Twins,Digital Twins is improving my life.,positive
Food Security,Food Security is improving my life.,positive
Augmented Reality (AR),Augmented Reality (AR) brings great opportunities.,positive
Food Security,I am disappointed with Food Security.,negative
Digital Twins,Digital Twins makes things worse sometimes.,negative
online learning,I am disappointed with online learning.,negative
online learning,online learning is improving my life.,positive
3D Printing,People discuss 3D Printing often.,neutral
Space Tourism,I am disappointed with Space Tourism.,negative
Electric Aviation,I love how Electric Aviation is evolving.,positive
AI chatbot,The progress in AI chatbot is amazing.,positive
Personalized Medicine,Personalized Medicine is causing a lot of problems.,negative
Hybrid Work Models,Hybrid Work Models makes things worse sometimes.,negative
Blockchain Beyond Crypto,I love how Blockchain Beyond Crypto is evolving.,positive
Food Security,Food Security is interesting to observe.,neutral
Wearable Health Tech,Wearable Health Tech is interesting to observe.,neutral
3D Printing,I hate the way 3D Printing is handled.,negative
Smart Cities,I have some information about Smart Cities.,neutral
Personalized Medicine,People discuss Personalized Medicine often.,neutral
Sustainable Tech,I have some information about Sustainable Tech.,neutral
Cybersecurity Innovations,I hate the way Cybersecurity Innovations is handled.,negative
Hybrid Work Models,I am disappointed with Hybrid Work Models.,negative
Voice Assistants,I have some information about Voice Assistants.,neutral
Quantum Computing,I love how Quantum Computing is evolving.,positive
Agentic AI,Agentic AI is improving my life.,positive
3D Printing,3D Printing is improving my life.,positive
Mental Health Awareness,Mental Health Awareness is causing a lot of problems.,negative
Cybersecurity Innovations,I hate the way Cybersecurity Innovations is handled.,negative
Augmented Reality (AR),I have some information about Augmented Reality (AR).,neutral
AI chatbot,AI chatbot is interesting to observe.,neutral
Food Security,People discuss Food Security often.,neutral
smartphones,I am learning about smartphones.,neutral
6G Connectivity,6G Connectivity makes things worse sometimes.,negative
Blockchain Beyond Crypto,Blockchain Beyond Crypto is improving my life.,positive
Voice Assistants,Voice Assistants brings great opportunities.,positive
Quantum Computing,I love how Quantum Computing is evolving.,positive
